species,sepal_width,petal_width
setosa,3.5,0.2
setosa,3.0,0.2
setosa,3.2,0.2
setosa,3.1,0.2
setosa,3.6,0.2
setosa,3.9,0.4
setosa,3.4,0.3
setosa,3.4,0.2
setosa,2.9,0.2
setosa,3.1,0.1
setosa,3.7,0.2
setosa,3.4,0.2
setosa,3.0,0.1
setosa,3.0,0.1
setosa,4.0,0.2
setosa,4.4,0.4
setosa,3.9,0.4
setosa,3.5,0.3
setosa,3.8,0.3
setosa,3.8,0.3
setosa,3.4,0.2
setosa,3.7,0.4
setosa,3.6,0.2
setosa,3.3,0.5
setosa,3.4,0.2
setosa,3.0,0.2
setosa,3.4,0.4
setosa,3.5,0.2
setosa,3.4,0.2
setosa,3.2,0.2
setosa,3.1,0.2
setosa,3.4,0.4
setosa,4.1,0.1
setosa,4.2,0.2
setosa,3.1,0.2
setosa,3.2,0.2
setosa,3.5,0.2
setosa,3.6,0.1
setosa,3.0,0.2
setosa,3.4,0.2
setosa,3.5,0.3
setosa,2.3,0.3
setosa,3.2,0.2
setosa,3.5,0.6
setosa,3.8,0.4
setosa,3.0,0.3
setosa,3.8,0.2
setosa,3.2,0.2
setosa,3.7,0.2
setosa,3.3,0.2
